Compact-ID: "0006597" WaferID(Filename): "210913_K4_1" Date: "19.12.2021" Touchdowns: " 3" Current(mA): "50" Nr_of_Points: "342" Comment: "" HTTS: "2"
X,Y,R1,R2,R3
2750.00000000,42750.00000000,1.06100988,1.05826974,1.05989373
7250.00000000,42750.00000000,1.03373623,1.04425526,1.03496945
11750.00000000,42750.00000000,1.03821504,1.03512120,1.03518283
16250.00000000,42750.00000000,1.01435959,1.01262248,1.01530445
20750.00000000,42750.00000000,0.98848504,1.00649965,1.00374198
25250.00000000,42750.00000000,0.97944582,0.97701019,0.97487730
29750.00000000,42750.00000000,0.94901282,0.94347477,0.94681585
34250.00000000,42750.00000000,0.85855657,0.86095291,0.86170316
38750.00000000,42750.00000000,0.86627787,0.86465555,0.86830288
43250.00000000,42750.00000000,0.83583015,0.83854717,0.83525079
47750.00000000,42750.00000000,0.76612335,0.79452175,0.79483485
52250.00000000,42750.00000000,0.81075639,0.79370314,0.79517525
56750.00000000,42750.00000000,1.19571924,1.20282650,1.19892013
61250.00000000,42750.00000000,2.62469482,2.63451290,2.63974786
-28750.00000000,47250.00000000,2.89305854,2.76955295,2.75899267
-24250.00000000,47250.00000000,1.45746672,1.42695308,1.43920815
-19750.00000000,47250.00000000,1.05540347,1.07032537,1.00644922
-15250.00000000,47250.00000000,1.02264285,0.99767351,0.99710655
-10750.00000000,47250.00000000,1.04370153,0.99492449,1.00120437
-6250.00000000,47250.00000000,1.04790878,1.05856586,1.06350350
-1750.00000000,47250.00000000,1.05697334,1.04141724,1.03493083
2750.00000000,47250.00000000,1.05580103,1.05135512,1.03911006
7250.00000000,47250.00000000,1.02054858,0.97047275,1.03044546
11750.00000000,47250.00000000,1.01376700,1.01445985,1.01282895
16250.00000000,47250.00000000,1.00077903,1.00604081,1.01594532
20750.00000000,47250.00000000,0.98786438,0.99031091,0.99067992
25250.00000000,47250.00000000,0.95645285,0.96655661,0.96566349
29750.00000000,47250.00000000,0.88005227,0.92664891,0.92997438
34250.00000000,47250.00000000,0.90287465,0.89159900,0.88145775
38750.00000000,47250.00000000,0.87239379,0.87329084,0.87415600
43250.00000000,47250.00000000,0.84334725,0.84116811,0.84426767
47750.00000000,47250.00000000,0.81917089,0.80839819,0.79629666
52250.00000000,47250.00000000,0.80598986,0.81826687,0.78930962
56750.00000000,47250.00000000,1.25773048,1.26412201,1.26692188
61250.00000000,47250.00000000,2.56008148,2.56155825,2.56220317
-28750.00000000,51750.00000000,2.77360868,2.67590451,2.61209440
-24250.00000000,51750.00000000,1.41118121,1.39538288,1.33297849
-19750.00000000,51750.00000000,1.02249777,1.02839530,1.03577089
-15250.00000000,51750.00000000,0.98572230,1.02143538,0.97436005
-10750.00000000,51750.00000000,1.02949548,1.02459455,1.02468276
-6250.00000000,51750.00000000,0.99450999,1.01388216,1.03642118
-1750.00000000,51750.00000000,0.99749476,0.98173618,0.96986276
2750.00000000,51750.00000000,1.03018713,1.03077495,1.03066635
7250.00000000,51750.00000000,0.99079394,0.97155482,0.98937958
11750.00000000,51750.00000000,1.01107395,1.01316106,1.00954843
16250.00000000,51750.00000000,0.99273491,0.99134117,0.99416703
20750.00000000,51750.00000000,0.97775823,0.97548550,0.97172713
25250.00000000,51750.00000000,0.89570165,0.89275014,0.89416444
29750.00000000,51750.00000000,0.88103938,0.86758107,0.87427062
34250.00000000,51750.00000000,0.84053987,0.84273237,0.86896861
38750.00000000,51750.00000000,0.86438650,0.86615092,0.86919546
43250.00000000,51750.00000000,0.84129727,0.79692203,0.84251016
47750.00000000,51750.00000000,0.79503739,0.79697037,0.79297078
52250.00000000,51750.00000000,0.78526109,0.77870053,0.77616102
56750.00000000,51750.00000000,1.26205099,1.27301300,1.27183509
61250.00000000,51750.00000000,2.39051056,2.36155987,2.36255550
-28750.00000000,56250.00000000,2.45354629,2.54918361,2.55447245
-24250.00000000,56250.00000000,1.35623658,1.30739915,1.35606253
-19750.00000000,56250.00000000,1.02610648,0.97641003,1.02031887
-15250.00000000,56250.00000000,1.00721562,1.01104820,1.00295782
-10750.00000000,56250.00000000,0.99647868,0.98780584,1.00760579
-6250.00000000,56250.00000000,0.96550214,0.96807635,1.00507426
-1750.00000000,56250.00000000,0.99516988,1.00747955,0.96620309
2750.00000000,56250.00000000,0.95009089,0.96320105,0.97612625
7250.00000000,56250.00000000,0.98558724,1.00017607,1.00792575
11750.00000000,56250.00000000,0.99384713,0.97668797,0.93501419
16250.00000000,56250.00000000,0.95906609,0.96336913,0.97822481
20750.00000000,56250.00000000,0.95560980,0.94835502,0.95401222
25250.00000000,56250.00000000,0.93475962,0.93481970,0.93797475
29750.00000000,56250.00000000,0.90364462,0.86133355,0.89920390
34250.00000000,56250.00000000,0.88253772,0.83188069,0.83879447
38750.00000000,56250.00000000,0.84161425,0.84601164,0.83528173
43250.00000000,56250.00000000,0.59018213,0.81889147,0.81825501
47750.00000000,56250.00000000,0.77496850,2.46046305,0.78146636
52250.00000000,56250.00000000,0.77050567,0.66784233,0.77937573
56750.00000000,56250.00000000,1.16406167,1.16617239,1.15831232
61250.00000000,56250.00000000,2.11963558,2.03832722,2.11282563
-28750.00000000,60750.00000000,2.32238817,2.34143996,2.49132228
-24250.00000000,60750.00000000,1.34299541,1.27651107,1.27592111
-19750.00000000,60750.00000000,0.96741486,0.99984330,1.01166940
-15250.00000000,60750.00000000,1.00211716,1.00272715,1.00602603
-10750.00000000,60750.00000000,0.96526039,0.93062687,0.95725650
-6250.00000000,60750.00000000,0.98403597,0.99002951,0.93959659
-1750.00000000,60750.00000000,0.99675441,1.00457644,0.98359907
2750.00000000,60750.00000000,0.96124911,0.99617499,0.97686946
7250.00000000,60750.00000000,0.92361468,0.97597688,0.91253096
11750.00000000,60750.00000000,0.96515316,0.96854627,0.97101587
16250.00000000,60750.00000000,0.94907695,0.94655770,0.94693178
20750.00000000,60750.00000000,0.92876273,0.90486896,0.93766844
25250.00000000,60750.00000000,0.91252846,0.91429824,0.89142269
29750.00000000,60750.00000000,0.89015317,0.86539805,0.86741877
34250.00000000,60750.00000000,0.86818659,0.86607814,0.86313498
38750.00000000,60750.00000000,0.87211549,0.78786325,1.05848312
43250.00000000,60750.00000000,0.79774320,0.76215452,0.76286191
47750.00000000,60750.00000000,0.78979790,0.81510228,0.78984994
52250.00000000,60750.00000000,0.78616190,0.78739142,0.78772867
56750.00000000,60750.00000000,1.11696839,1.13404477,1.13408256
61250.00000000,60750.00000000,1.96109462,1.97074604,1.97064412
-24250.00000000,65250.00000000,1.28195131,1.28228581,1.27506185
-19750.00000000,65250.00000000,0.99531519,0.98826724,0.94459516
-15250.00000000,65250.00000000,0.96850431,0.97076976,0.96514845
-10750.00000000,65250.00000000,0.95063627,0.88921857,0.92028683
-6250.00000000,65250.00000000,0.91993570,0.89791143,0.90421677
-1750.00000000,65250.00000000,0.95134401,0.87673992,0.90831971
2750.00000000,65250.00000000,0.89518470,0.89871782,0.90177441
7250.00000000,65250.00000000,0.88662201,0.88747525,0.88573301
11750.00000000,65250.00000000,0.89071226,0.89772528,0.89893579
16250.00000000,65250.00000000,2.18784094,0.88061029,0.87866694
20750.00000000,65250.00000000,0.85807782,0.86142123,0.86032730
25250.00000000,65250.00000000,0.82733220,0.85753393,0.86024839
29750.00000000,65250.00000000,0.84730500,0.85183865,0.85174531
34250.00000000,65250.00000000,0.77952623,0.77860993,0.78290296
38750.00000000,65250.00000000,0.81187695,0.80959868,0.81140536
43250.00000000,65250.00000000,0.79408371,0.79128128,0.79806060
47750.00000000,65250.00000000,0.75290251,0.75068778,0.76787657
52250.00000000,65250.00000000,0.76715648,0.76849365,0.76869297
56750.00000000,65250.00000000,0.94770652,0.96329701,0.95109797
-24250.00000000,69750.00000000,1.38279951,1.31468487,1.31016874
-19750.00000000,69750.00000000,0.95828599,0.90689975,0.91465217
-15250.00000000,69750.00000000,0.89118296,0.94329053,0.93221021
-10750.00000000,69750.00000000,0.88782471,0.89111620,0.93139660
-6250.00000000,69750.00000000,0.91322196,0.90947753,0.91390091
-1750.00000000,69750.00000000,0.97691977,0.84539729,0.83607894
2750.00000000,69750.00000000,0.84961969,0.87759298,0.80546522
7250.00000000,69750.00000000,0.83497822,0.82995200,0.79633790
11750.00000000,69750.00000000,0.77888590,0.79481006,0.77635014
16250.00000000,69750.00000000,0.76293457,0.76995128,0.77570367
20750.00000000,69750.00000000,0.77123404,0.75635916,0.75612777
25250.00000000,69750.00000000,0.74369109,0.74555993,0.74468100
29750.00000000,69750.00000000,0.76902401,0.76748675,0.76625395
34250.00000000,69750.00000000,0.75588590,0.75409639,0.75659645
38750.00000000,69750.00000000,0.74317080,0.74341792,0.74339163
43250.00000000,69750.00000000,0.73219329,0.74210507,0.74306929
47750.00000000,69750.00000000,0.73161453,0.73561698,0.73595512
52250.00000000,69750.00000000,0.73099160,0.73383772,0.72915715
56750.00000000,69750.00000000,0.82171082,0.82040542,0.82104838
-19750.00000000,74250.00000000,0.93964076,0.93314976,0.93440282
-15250.00000000,74250.00000000,0.86956501,0.93399644,0.87199569
-10750.00000000,74250.00000000,0.85043746,0.85787219,0.86538661
-6250.00000000,74250.00000000,0.83058119,0.80635577,0.81598198
-1750.00000000,74250.00000000,0.76892096,0.77088761,0.77958757
2750.00000000,74250.00000000,0.78284627,0.76454014,0.76108342
7250.00000000,74250.00000000,0.77275568,0.77346402,0.77265227
11750.00000000,74250.00000000,0.77334291,0.81597328,0.81624335
16250.00000000,74250.00000000,0.81484717,0.80363441,0.81181234
20750.00000000,74250.00000000,0.80972606,0.81053877,0.80909389
25250.00000000,74250.00000000,0.80417925,0.80049992,0.80110729
29750.00000000,74250.00000000,0.77598286,0.78901035,0.78481400
34250.00000000,74250.00000000,0.74524891,0.76265568,0.76287293
38750.00000000,74250.00000000,0.73984826,0.71167958,0.70935076
43250.00000000,74250.00000000,0.69414967,0.68814266,0.68646592
47750.00000000,74250.00000000,0.71162194,0.70975256,0.67665792
52250.00000000,74250.00000000,0.69518870,0.65820503,0.65846252
-15250.00000000,78750.00000000,1.23404312,1.18415368,1.22071826
-10750.00000000,78750.00000000,0.83606952,0.79994959,0.78438556
-6250.00000000,78750.00000000,0.80279344,0.79707223,0.80520302
-1750.00000000,78750.00000000,0.78324229,0.80551136,0.78436440
2750.00000000,78750.00000000,0.82504445,0.82824504,0.82877505
7250.00000000,78750.00000000,0.91313916,0.90978342,0.90899593
11750.00000000,78750.00000000,0.90473235,0.92207348,0.77136368
16250.00000000,78750.00000000,0.91172981,0.91338253,0.91308892
20750.00000000,78750.00000000,0.92112768,0.92821652,0.92359328
25250.00000000,78750.00000000,0.87883127,0.87836951,0.88008058
29750.00000000,78750.00000000,0.85596001,0.88012666,0.88355649
34250.00000000,78750.00000000,0.83805197,0.83652151,0.83694655
38750.00000000,78750.00000000,0.82072484,0.82206315,0.81946003
43250.00000000,78750.00000000,0.78293562,0.78360504,0.78142363
